Grid_ID,Latitude,Longitude,Ship_Count,Density,어선,여객선,화물선,유조선,예인선,수상레저기구,기타선,avg_speed,avg_dir
GR3_G3B32_D,35.475,129.425,147,50.48,76,0,2,23,0,1,45,0.0,0.0
GR3_G3B33_P,35.075,129.025,106,46.12,44,1,10,11,14,2,24,0.0,0.0
GR3_G3B33_L,35.125,129.075,99,100.0,5,0,18,42,14,0,20,0.0,0.0
GR3_F4H23_E,34.725,127.725,95,32.83,45,2,4,3,1,0,40,0.0,0.0
GR3_G3E12_S,34.825,128.425,86,11.93,64,5,1,0,0,1,15,9.949453551912569,154.58754553734062
GR3_G3B32_C,35.475,129.375,83,83.56,2,1,7,34,22,0,17,0.0,0.0
GR3_G3B14_W,35.525,129.375,76,97.51,0,1,7,19,23,1,25,0.0,0.0
GR3_G3E11_G,34.925,128.075,75,12.12,63,1,0,0,7,0,4,0.0,0.0
GR3_G3A44_P,35.075,128.775,67,100.0,7,0,12,1,31,0,16,0.0,0.0
GR3_G3B33_Q,35.075,129.075,67,68.8,19,2,13,8,4,0,21,0.0,0.0
GR3_G3A44_T,35.075,128.975,64,68.68,30,0,11,4,5,0,14,0.0,0.0
GR3_G3B32_H,35.425,129.375,59,54.38,1,0,7,25,21,0,5,0.0,0.0
GR3_F2K41_B,37.475,126.575,57,10.54,6,13,1,2,9,0,26,0.0,0.0
GR3_G1J13_R,37.575,129.125,51,4.01,47,1,0,0,0,0,3,0.0,0.0
GR3_G3E21_O,34.875,128.725,51,100.0,12,0,3,3,14,0,19,0.0,0.0
GR3_F2K34_X,37.025,126.425,49,41.71,0,0,3,10,18,0,18,0.0,0.0
GR3_F4G12_R,34.825,126.375,46,21.92,28,6,2,0,0,0,10,0.0,0.0
GR3_F4J43_S,33.075,125.675,45,6.0,35,1,3,1,0,0,5,0.0,0.0
GR3_F4H22_K,34.875,127.775,44,34.0,0,0,2,12,20,0,10,0.0,0.0
GR3_F2K41_C,37.475,126.625,43,100.0,5,4,13,4,4,0,13,0.0,0.0
GR3_F4H22_U,34.775,127.775,43,32.58,1,2,5,17,0,0,18,0.0,0.0
GR3_G3E23_D,34.725,128.675,42,3.36,25,0,3,1,8,1,4,0.0,0.0
GR3_F4G12_W,34.775,126.375,41,35.1,1,9,10,0,6,0,15,0.0,0.0
GR3_G3B14_O,35.625,129.475,41,1.41,30,0,0,0,0,6,5,0.0,0.0
GR3_F4K43_B,33.225,126.575,39,3.73,19,0,0,0,0,0,20,17.229508196721312,184.60257285974498
GR3_F4H21_I,34.925,127.675,36,76.56,0,0,6,2,21,0,7,0.0,0.0
GR3_F4H21_O,34.875,127.725,36,12.97,0,0,3,10,19,0,4,0.0,0.0
GR3_F4H24_A,34.725,127.775,36,19.49,2,4,7,6,1,0,16,0.0,0.0
GR3_G3A43_N,35.125,128.675,36,3.81,27,1,1,0,2,0,5,0.0,0.0
GR3_F4G12_X,34.775,126.425,35,8.22,7,1,3,0,9,1,14,0.0,0.0
GR3_G3E21_G,34.925,128.575,35,16.16,2,0,2,1,17,0,13,0.0,0.0
GR3_F4J43_R,33.075,125.625,33,3.7,28,0,0,1,0,0,4,0.0,0.0
GR3_G1E32_J,38.425,128.475,33,0.53,33,0,0,0,0,0,0,0.0,0.0
GR3_F4J43_X,33.025,125.675,32,3.08,24,0,0,0,0,0,8,0.0,0.0
GR3_G3A43_G,35.175,128.575,32,16.5,1,0,7,3,10,0,11,0.0,0.0
GR3_G3A43_T,35.075,128.725,32,0.28,29,0,0,0,0,2,1,0.0,0.0
GR3_F4H24_B,34.725,127.825,31,28.43,0,4,9,13,0,0,5,0.0,0.0
GR3_G3A44_Q,35.075,128.825,31,100.0,4,0,16,2,7,0,2,0.0,0.0
GR3_G3E12_R,34.825,128.375,31,3.27,29,1,0,0,0,0,1,0.0,0.0
GR3_F2O22_B,36.975,126.825,30,98.0,0,0,19,1,3,0,7,31.336976320582878,223.7693533697632
GR3_F4H21_J,34.925,127.725,30,86.93,0,0,16,3,8,0,3,0.0,0.0
GR3_F4J43_T,33.075,125.725,30,2.84,26,1,0,0,0,0,3,32.17622950819672,209.10598816029145
GR3_F4J43_Y,33.025,125.725,30,9.04,25,0,0,0,2,0,3,0.0,0.0
GR3_G1N34_X,36.025,129.425,30,60.68,0,0,18,0,10,0,2,0.0,0.0
GR3_G3B33_E,35.225,129.225,30,1.69,23,0,0,0,0,0,7,0.0,0.0
GR3_G1N14_J,36.675,129.475,29,5.02,20,1,0,0,0,2,6,0.0,0.0
GR3_F4G43_H,34.175,126.625,28,0.49,27,1,0,0,0,0,0,0.0,0.0
GR3_G3E22_B,34.975,128.825,28,51.54,14,0,9,2,1,0,2,0.0,0.0
GR3_G3E23_E,34.725,128.725,28,3.42,15,0,3,1,3,0,6,0.0,0.0
GR3_F4G42_P,34.325,126.775,27,7.12,13,6,0,0,1,3,4,0.0,0.0
GR3_F4H21_N,34.875,127.675,27,25.46,1,0,12,5,7,0,2,0.0,0.0
GR3_F4K23_U,33.525,126.525,27,23.02,4,1,3,3,4,0,12,0.0,0.0
