Grid_ID,Latitude,Longitude,avg_speed,avg_dir
GR3_G3B32_D,35.475,129.425,0.0,0.0
GR3_G3B33_P,35.075,129.025,0.0,0.0
GR3_G3B33_L,35.125,129.075,0.0,0.0
GR3_F4H23_E,34.725,127.725,0.0,0.0
GR3_G3E12_S,34.825,128.425,10.008561643835616,156.25981735159817
GR3_G3B32_C,35.475,129.375,0.0,0.0
GR3_G3B14_W,35.525,129.375,0.0,0.0
GR3_G3E11_G,34.925,128.075,0.0,0.0
GR3_G3A44_P,35.075,128.775,0.0,0.0
GR3_G3B33_Q,35.075,129.075,0.0,0.0
GR3_G3A44_T,35.075,128.975,0.0,0.0
GR3_G3B32_H,35.425,129.375,0.0,0.0
GR3_F2K41_B,37.475,126.575,0.0,0.0
GR3_G1J13_R,37.575,129.125,0.0,0.0
GR3_G3E21_O,34.875,128.725,0.0,0.0
GR3_F2K34_X,37.025,126.425,0.0,0.0
GR3_F4G12_R,34.825,126.375,0.0,0.0
GR3_F4J43_S,33.075,125.675,0.0,0.0
GR3_F4H22_K,34.875,127.775,0.0,0.0
GR3_F2K41_C,37.475,126.625,0.0,0.0
GR3_F4H22_U,34.775,127.775,0.0,0.0
GR3_G3E23_D,34.725,128.675,0.0,0.0
GR3_F4G12_W,34.775,126.375,0.0,0.0
GR3_G3B14_O,35.625,129.475,0.0,0.0
GR3_F4K43_B,33.225,126.575,17.322488584474886,184.8187214611872
GR3_F4H21_I,34.925,127.675,0.0,0.0
GR3_F4H21_O,34.875,127.725,0.0,0.0
GR3_F4H24_A,34.725,127.775,0.0,0.0
GR3_G3A43_N,35.125,128.675,0.0,0.0
GR3_F4G12_X,34.775,126.425,0.0,0.0
GR3_G3E21_G,34.925,128.575,0.0,0.0
GR3_F4J43_R,33.075,125.625,0.0,0.0
GR3_G1E32_J,38.425,128.475,0.0,0.0
GR3_F4J43_X,33.025,125.675,0.0,0.0
GR3_G3A43_G,35.175,128.575,0.0,0.0
GR3_G3A43_T,35.075,128.725,0.0,0.0
GR3_F4H24_B,34.725,127.825,0.0,0.0
GR3_G3A44_Q,35.075,128.825,0.0,0.0
GR3_G3E12_R,34.825,128.375,0.0,0.0
GR3_F2O22_B,36.975,126.825,31.538584474885845,223.63801369863015
GR3_F4H21_J,34.925,127.725,0.0,0.0
GR3_F4J43_T,33.075,125.725,32.37385844748859,208.74212328767123
GR3_F4J43_Y,33.025,125.725,0.0,0.0
GR3_G1N34_X,36.025,129.425,0.0,0.0
GR3_G3B33_E,35.225,129.225,0.0,0.0
GR3_G1N14_J,36.675,129.475,0.0,0.0
GR3_F4G43_H,34.175,126.625,0.0,0.0
GR3_G3E22_B,34.975,128.825,0.0,0.0
GR3_G3E23_E,34.725,128.725,0.0,0.0
GR3_F4G42_P,34.325,126.775,0.0,0.0
GR3_F4H21_N,34.875,127.675,0.0,0.0
GR3_F4K23_U,33.525,126.525,0.0,0.0
GR3_G1J34_S,37.075,129.425,0.0,0.0
GR3_G3B23_X,35.525,129.675,0.0,0.0
GR3_F4H24_O,34.625,127.975,0.0,0.0
GR3_F4J43_W,33.025,125.625,0.0,0.0
GR3_G1I22_L,37.875,128.825,0.0,0.0
GR3_F2O21_E,36.975,126.725,0.0,0.0
GR3_F4J33_D,33.225,125.175,0.0,0.0
GR3_G3E12_O,34.875,128.475,0.0,0.0
GR3_G3E21_Y,34.775,128.725,0.0,0.0
GR3_G3E23_G,34.675,128.575,0.0,0.0
GR3_F4G32_L,34.375,126.325,0.0,0.0
GR3_G3A44_V,35.025,128.825,0.0,0.0
GR3_G3B32_I,35.425,129.425,0.0,0.0
GR3_G3E11_I,34.925,128.175,0.0,0.0
GR3_G3E12_W,34.775,128.375,0.0,0.0
GR3_F4H13_W,34.525,127.125,0.0,0.0
GR3_F4H32_Q,34.325,127.325,0.0,0.0
GR3_F4H32_R,34.325,127.375,0.0,0.0
GR3_G1N34_W,36.025,129.375,0.0,0.0
GR3_G3E12_X,34.775,128.425,0.0,0.0
GR3_F4G31_M,34.375,126.125,0.0,0.0
GR3_G3B21_B,35.975,129.575,0.0,0.0
GR3_G3B33_R,35.075,129.125,0.0,0.0
GR3_G3B34_Y,35.025,129.475,0.0,0.0
GR3_G3E21_D,34.975,128.675,0.0,0.0
GR3_G3E23_H,34.675,128.625,40.11381278538813,158.99075342465753
GR3_G3E23_I,34.675,128.675,0.0,0.0
GR3_F2O41_P,36.325,126.525,0.0,0.0
GR3_G1N12_N,36.875,129.425,0.0,0.0
GR3_G3B21_K,35.875,129.525,0.0,0.0
GR3_F2O22_H,36.925,126.875,0.0,0.0
GR3_F4H24_I,34.675,127.925,17.616438356164384,197.3066210045662
GR3_G1J31_C,37.475,129.125,0.0,0.0
GR3_F1L44_L,37.125,123.825,0.0,0.0
GR3_F4C21_C,35.975,126.625,0.0,0.0
GR3_F4H32_A,34.475,127.275,0.0,0.0
GR3_F4H33_O,34.125,127.225,28.83744292237443,173.96027397260275
GR3_F4H34_K,34.125,127.275,0.0,0.0
GR3_F4H34_L,34.125,127.325,0.0,0.0
GR3_F4J41_I,33.425,125.675,0.0,0.0
GR3_F4K34_A,33.225,126.275,0.0,0.0
GR3_G3B33_J,35.175,129.225,0.0,0.0
GR3_G3B41_D,35.475,129.675,0.0,0.0
GR3_G3B42_R,35.325,129.875,0.0,0.0
GR3_G3B42_X,35.275,129.925,0.0,0.0
GR3_F1L44_R,37.075,123.875,0.0,0.0
GR3_F4H32_F,34.425,127.275,0.0,0.0
GR3_G1E43_B,38.225,128.575,0.0,0.0
GR3_G3A43_Y,35.025,128.725,0.0,0.0
GR3_G3B32_M,35.375,129.375,0.0,0.0
GR3_G3E12_V,34.775,128.325,0.0,0.0
GR3_F4C21_B,35.975,126.575,0.0,0.0
GR3_F4C33_M,35.125,126.125,0.0,0.0
GR3_F4H24_T,34.575,127.975,0.0,0.0
GR3_F4K41_X,33.275,126.675,0.0,0.0
GR3_G1N34_N,36.125,129.425,0.0,0.0
GR3_G3A43_W,35.025,128.625,0.0,0.0
GR3_G3B34_G,35.175,129.325,0.0,0.0
GR3_G3C33_A,35.225,130.025,0.0,0.0
GR3_G3E23_F,34.675,128.525,0.0,0.0
GR3_F2K31_W,37.275,126.125,63.83595890410959,124.71780821917808
GR3_F2O13_H,36.675,126.125,93.3230593607306,172.05559360730592
GR3_F4G43_B,34.225,126.575,70.28070776255707,162.09372146118722
GR3_F4G43_F,34.175,126.525,0.0,0.0
GR3_F4H32_G,34.425,127.325,0.0,0.0
GR3_F4H34_M,34.125,127.375,0.0,0.0
GR3_F4J33_O,33.125,125.225,0.0,0.0
GR3_F4N21_E,32.975,125.725,0.0,0.0
GR3_G3B34_D,35.225,129.425,0.0,0.0
GR3_G3B42_Q,35.325,129.825,0.0,0.0
GR3_G3E14_D,34.725,128.425,0.0,0.0
GR3_G3E21_N,34.875,128.675,0.0,0.0
GR3_F4C33_S,35.075,126.175,0.0,0.0
GR3_F4G32_P,34.325,126.275,0.0,0.0
GR3_F4G41_Y,34.275,126.725,0.0,0.0
GR3_F4H13_I,34.675,127.175,0.0,0.0
GR3_F4H23_O,34.625,127.725,0.0,0.0
GR3_F4H33_N,34.125,127.175,0.0,0.0
GR3_F4N33_O,32.125,125.225,0.0,0.0
GR3_G3A44_U,35.025,128.775,0.0,0.0
GR3_G3B23_S,35.575,129.675,17.964155251141552,127.8230593607306
GR3_G3B32_J,35.425,129.475,0.0,0.0
GR3_G3B34_P,35.075,129.275,0.0,0.0
GR3_G3B42_M,35.375,129.875,0.0,0.0
GR3_G3E12_G,34.925,128.325,0.0,0.0
GR3_G3E21_H,34.925,128.625,0.0,0.0
GR3_G3E21_T,34.825,128.725,0.0,0.0
GR3_G3E23_B,34.725,128.575,0.0,0.0
GR3_G3F11_V,34.775,129.075,0.0,0.0
GR3_F2K34_Y,37.025,126.475,0.0,0.0
GR3_F4C33_X,35.025,126.175,0.0,0.0
GR3_F4G32_Q,34.325,126.325,0.0,0.0
GR3_F4G43_G,34.175,126.575,0.0,0.0
GR3_F4H24_C,34.725,127.875,0.0,0.0
GR3_F4H32_E,34.475,127.475,0.0,0.0
GR3_F4H32_N,34.375,127.425,29.71095890410959,187.475
GR3_F4H32_S,34.325,127.425,0.0,0.0
GR3_F4J33_C,33.225,125.125,0.0,0.0
GR3_F4K43_A,33.225,126.525,0.0,0.0
GR3_G3A43_R,35.075,128.625,0.0,0.0
GR3_G3B33_O,35.125,129.225,0.0,0.0
GR3_G3B34_X,35.025,129.425,0.0,0.0
GR3_G3B41_L,35.375,129.575,0.0,0.0
GR3_G3B43_P,35.075,129.525,0.0,0.0
GR3_G3E14_J,34.675,128.475,0.0,0.0
GR3_G3F12_G,34.925,129.325,0.0,0.0
GR3_F2K41_N,37.375,126.675,0.0,0.0
GR3_F2N42_L,36.375,125.825,0.0,0.0
GR3_F4G34_J,34.175,126.475,0.0,0.0
GR3_F4H13_M,34.625,127.125,0.0,0.0
GR3_F4H42_D,34.475,127.925,0.0,0.0
GR3_F4I23_R,33.575,124.625,0.0,0.0
GR3_F4N21_D,32.975,125.675,0.0,0.0
GR3_F4N34_F,32.175,125.275,0.0,0.0
GR3_G1E41_K,38.375,128.525,0.0,0.0
GR3_G1N32_M,36.375,129.375,0.0,0.0
GR3_G3B21_Q,35.825,129.575,0.0,0.0
GR3_G3B21_V,35.775,129.575,0.0,0.0
GR3_G3B32_N,35.375,129.425,0.0,0.0
GR3_G3B32_Y,35.275,129.475,0.0,0.0
GR3_G3B33_V,35.025,129.075,0.0,0.0
GR3_G3B34_F,35.175,129.275,0.0,0.0
GR3_G3B41_E,35.475,129.725,0.0,0.0
GR3_G3B41_P,35.325,129.525,0.0,0.0
GR3_G3B44_E,35.225,129.975,0.0,0.0
GR3_G3E11_N,34.875,128.175,0.0,0.0
GR3_G3E12_Q,34.825,128.325,0.0,0.0
GR3_G3E21_C,34.975,128.625,0.0,0.0
GR3_G3E21_V,34.775,128.575,0.0,0.0
GR3_G3E22_C,34.975,128.875,0.0,0.0
GR3_G3F12_F,34.925,129.275,0.0,0.0
GR3_F2N42_V,36.275,125.825,0.0,0.0
GR3_F2N44_B,36.225,125.825,0.0,0.0
GR3_F2O22_A,36.975,126.775,0.0,0.0
GR3_F4G42_U,34.275,126.775,0.0,0.0
GR3_F4H24_H,34.675,127.875,0.0,0.0
GR3_F4H32_P,34.325,127.275,0.0,0.0
GR3_F4I22_W,33.775,124.875,0.0,0.0
GR3_F4J43_D,33.225,125.675,0.0,0.0
GR3_F4K34_B,33.225,126.325,0.0,0.0
GR3_F4N34_K,32.125,125.275,0.0,0.0
GR3_G1E32_D,38.475,128.425,0.0,0.0
GR3_G1J13_W,37.525,129.125,0.0,0.0
GR3_G1N43_Q,36.075,129.575,0.0,0.0
GR3_G3A43_X,35.025,128.675,0.0,0.0
GR3_G3B14_X,35.525,129.425,0.0,0.0
GR3_G3B33_H,35.175,129.125,0.0,0.0
GR3_G3B34_E,35.225,129.475,0.0,0.0
GR3_G3B34_V,35.025,129.325,0.0,0.0
GR3_G3B42_G,35.425,129.825,0.0,0.0
GR3_G3B42_S,35.325,129.925,0.0,0.0
GR3_G3C31_U,35.275,130.025,0.0,0.0
GR3_G3E14_K,34.625,128.275,0.0,0.0
GR3_G3E21_A,34.975,128.525,0.0,0.0
GR3_G3E21_J,34.925,128.725,0.0,0.0
GR3_G3E21_P,34.825,128.525,0.0,0.0
GR3_G3E22_G,34.925,128.825,0.0,0.0
GR3_G3E23_A,34.725,128.525,0.0,0.0
GR3_G3E23_W,34.525,128.625,0.0,0.0
GR3_F2K32_T,37.325,126.475,0.0,0.0
GR3_F2K33_U,37.025,126.025,0.0,0.0
GR3_F2K34_J,37.175,126.475,0.0,0.0
GR3_F2K34_W,37.025,126.375,0.0,0.0
GR3_F2K41_R,37.325,126.625,0.0,0.0
GR3_F2N24_S,36.575,125.925,0.0,0.0
GR3_F2N42_G,36.425,125.825,0.0,0.0
GR3_F2N42_R,36.325,125.875,0.0,0.0
GR3_F2O41_F,36.425,126.525,0.0,0.0
GR3_F4F24_M,34.625,125.875,0.0,0.0
GR3_F4G41_P,34.325,126.525,0.0,0.0
GR3_F4G42_E,34.475,126.975,0.0,0.0
GR3_F4G43_R,34.075,126.625,0.0,0.0
GR3_F4G44_H,34.175,126.875,0.0,0.0
GR3_F4H22_G,34.925,127.825,0.0,0.0
GR3_F4H23_A,34.725,127.525,0.0,0.0
GR3_F4H24_J,34.675,127.975,0.0,0.0
GR3_F4H31_J,34.425,127.225,0.0,0.0
GR3_F4H31_L,34.375,127.075,17.067237442922373,203.1068493150685
GR3_F4H31_R,34.325,127.125,0.0,0.0
GR3_F4H31_V,34.275,127.075,0.0,0.0
GR3_F4J31_X,33.275,125.175,0.0,0.0
GR3_F4J34_K,33.125,125.275,0.0,0.0
GR3_F4J34_L,33.125,125.325,0.0,0.0
GR3_F4J34_S,33.075,125.425,0.0,0.0
GR3_F4J34_X,33.025,125.425,0.0,0.0
GR3_F4J43_I,33.175,125.675,0.0,0.0
GR3_F4J43_N,33.125,125.675,0.0,0.0
GR3_F4K22_I,33.925,126.925,0.0,0.0
GR3_F4K42_D,33.475,126.925,0.0,0.0
GR3_F4K42_S,33.325,126.925,0.0,0.0
GR3_F4N32_Q,32.325,125.325,0.0,0.0
GR3_G1N34_S,36.075,129.425,0.0,0.0
GR3_G3B23_C,35.725,129.625,0.0,0.0
GR3_G3B23_K,35.625,129.525,0.0,0.0
GR3_G3B32_T,35.325,129.475,0.0,0.0
GR3_G3B34_K,35.125,129.275,0.0,0.0
GR3_G3B41_V,35.275,129.575,0.0,0.0
GR3_G3B42_K,35.375,129.775,0.0,0.0
GR3_G3E11_T,34.825,128.225,0.0,0.0
GR3_G3E12_D,34.975,128.425,2.5463470319634705,164.4425799086758
GR3_G3E21_F,34.925,128.525,0.0,0.0
GR3_G3E22_A,34.975,128.775,27.543949771689498,218.0079908675799
GR3_G3E23_V,34.525,128.575,0.0,0.0
GR3_G3E43_C,34.225,128.625,0.0,0.0
GR3_G3F11_G,34.925,129.075,0.0,0.0
GR3_F2K33_W,37.025,126.125,0.0,0.0
GR3_F2K41_G,37.425,126.575,0.0,0.0
GR3_F2N24_N,36.625,125.925,0.0,0.0
GR3_F2O11_W,36.775,126.125,0.0,0.0
GR3_F4C21_F,35.925,126.525,0.0,0.0
GR3_F4G32_M,34.375,126.375,16.684817351598173,209.18812785388127
GR3_F4G43_Q,34.075,126.575,0.0,0.0
GR3_F4G43_T,34.075,126.725,38.44178082191781,171.90696347031962
GR3_F4H22_F,34.925,127.775,0.0,0.0
GR3_F4H22_H,34.925,127.875,0.0,0.0
GR3_F4H31_U,34.275,127.025,0.0,0.0
