정점명,개수,무게_kg,위도,경도,군집,단위무게
강화여차리,511,25.1,37.620648,126.3893598,2,0.049119373776908025
안산말부흥,50,0.5,37.2211136,126.5721774,2,0.01
태안백리포,1359,49.8,36.81403540000001,126.1599651,2,0.036644591611479024
보령석대도,138,50.1,36.2471347,126.5464963,2,0.3630434782608696
부안변산,97,39.0,35.6898916,126.5494362,2,0.4020618556701031
신안임자도,119,7.1,35.1297591,126.1198797,2,0.059663865546218484
진도하조도,309,24.9,34.2901417,126.0649425,2,0.08058252427184466
해남묵동리,221,15.4,34.3711166,126.6036024,2,0.06968325791855204
고흥신흥,452,23.2,34.5792925,127.1444411,2,0.05132743362831858
여수반월,246,6.8,34.7912068,127.5738306,2,0.027642276422764227
사천아두도,325,28.3,34.8989113,128.0757013,2,0.08707692307692308
통영망일봉,1215,16.0,34.8479613,128.4371946,2,0.01316872427983539
마산봉암,965,19.6,35.2246659,128.6061178,2,0.020310880829015547
부산해양대,800,22.9,35.0708907,129.0745195,2,0.028624999999999998
울산대왕암,2280,27.7,35.4969464,129.4330583,0,0.012149122807017543
포항칠포,1937,75.8,36.1440365,129.3900131,0,0.039132679401135774
울진후정,395,4.9,37.0629194,129.4037505,2,0.012405063291139242
강릉송정,350,4.9,37.8137117,128.87497,2,0.014
속초청초,1725,13.5,38.1951876,128.5962751,0,0.00782608695652174
인천백령도,812,78.0,37.9646004,124.7066217,2,0.0960591133004926
인천영종도,74,1.0,37.455283,126.3793637,2,0.013513513513513514
인천영흥도,46,0.7,37.26838,126.4702202,2,0.015217391304347825
태안안면도,2502,60.0,36.4328714,126.3795894,0,0.023980815347721823
서천다사항,131,56.1,36.1057151,126.6142634,2,0.42824427480916033
고창동호,229,99.2,35.5093734,126.4884499,2,0.4331877729257642
영광백바위,442,117.3,35.2297901,126.3094011,2,0.2653846153846154
신안고장,971,20.0,34.8767863,126.005592,2,0.02059732234809475
해남예락,292,58.3,34.6109314,126.2922176,2,0.19965753424657534
해남송평,327,71.9,34.44268580000001,126.4748789,2,0.21987767584097861
제주김녕리,2494,137.6,33.5389636,126.7494481,0,0.05517241379310345
완도신지도,743,42.5,34.3349187,126.7801042,2,0.05720053835800808
여수백야도,525,11.6,34.6154129,127.637848,2,0.022095238095238095
고흥염포,435,18.3,34.4360441,127.4974104,2,0.04206896551724138
남해유구,188,26.5,34.76155240000001,127.8562831,2,0.14095744680851063
거제두모,3746,33.8,34.986674,128.6911309,0,0.009022957821676454
울주나사리,1158,46.0,35.3490177,129.3182481,2,0.039723661485319514
동해노봉,823,18.3,37.5729655,129.0834231,2,0.022235722964763064
영덕고래불,596,9.8,36.6026697,129.4094795,2,0.01644295302013423
포항구룡포,4064,87.0,36.0623152,129.558625,0,0.02140748031496063
제주사계리,827,18.8,33.2383758,126.3026575,2,0.022732769044740024
고성하일,1710,21.8,34.9243186,128.1942245,0,0.012748538011695907
군산선유도,45,3.8,35.8265225,126.4109249,2,0.08444444444444445
당진석문,159,1.8,37.034301,126.5107641,2,0.011320754716981133
보령삽시도,677,5.1,36.3388359,126.3549133,2,0.007533234859675037
부산가덕도,3383,52.1,35.0671545,128.846194,0,0.015400532072125333
부산일광,2675,36.2,35.2538187,129.2474352,0,0.013532710280373833
시흥정왕,790,4.8,37.3411588,126.7220994,2,0.0060759493670886075
신안압해도,1157,98.9,34.8562485,126.2762597,2,0.08547968885047537
신안우이도,3497,1238.0,34.6087046,125.8400858,1,0.3540177294824135
신안흑산도,2733,219.8,34.6743075,125.4051371,0,0.08042444200512258
여수거문도,4207,74.4,34.046257,127.2879661,0,0.017684811029236986
여수안도,11420,253.5,34.4857211,127.8106368,3,0.022197898423817863
완도보길도,1693,38.4,34.1593277,126.5241703,0,0.022681630242173654
완도평일도,806,85.0,34.3289971,126.8040192,2,0.1054590570719603
울릉현포,2287,250.5,37.527339,130.8339278,0,0.1095321381722781
울산주전,1380,13.6,35.5578088,129.4481506,2,0.009855072463768115
제주위미,902,14.8,33.3283413,126.6661355,2,0.016407982261640797
진도가사도,1349,225.0,34.4797866,126.0504041,0,0.16679021497405486
통영욕지도,2563,47.9,34.6315021,128.241404,0,0.018689036285602808
화성서신,124,1.5,37.1295396,126.6975366,2,0.012096774193548387
