정점명,차수,날짜,추정_개수,추정_무게_kg,위도,경도,군집
강화여차리,1차,2023-01-31,98,8.25,37.620648,126.3893598,2
강화여차리,2차,2023-03-31,72,2.86,37.620648,126.3893598,2
강화여차리,3차,2023-05-31,73,3.98,37.620648,126.3893598,2
강화여차리,4차,2023-07-31,86,2.06,37.620648,126.3893598,2
강화여차리,5차,2023-09-30,101,2.96,37.620648,126.3893598,2
강화여차리,6차,2023-11-30,80,4.99,37.620648,126.3893598,2
안산말부흥,1차,2023-01-31,10,0.16,37.2211136,126.5721774,2
안산말부흥,2차,2023-03-31,7,0.06,37.2211136,126.5721774,2
안산말부흥,3차,2023-05-31,7,0.08,37.2211136,126.5721774,2
안산말부흥,4차,2023-07-31,8,0.04,37.2211136,126.5721774,2
안산말부흥,5차,2023-09-30,10,0.06,37.2211136,126.5721774,2
안산말부흥,6차,2023-11-30,8,0.1,37.2211136,126.5721774,2
태안백리포,1차,2023-01-31,260,16.36,36.81403540000001,126.1599651,2
태안백리포,2차,2023-03-31,191,5.67,36.81403540000001,126.1599651,2
태안백리포,3차,2023-05-31,195,7.9,36.81403540000001,126.1599651,2
태안백리포,4차,2023-07-31,229,4.09,36.81403540000001,126.1599651,2
태안백리포,5차,2023-09-30,270,5.88,36.81403540000001,126.1599651,2
태안백리포,6차,2023-11-30,213,9.9,36.81403540000001,126.1599651,2
보령석대도,1차,2023-01-31,26,16.46,36.2471347,126.5464963,2
보령석대도,2차,2023-03-31,19,5.71,36.2471347,126.5464963,2
보령석대도,3차,2023-05-31,20,7.95,36.2471347,126.5464963,2
보령석대도,4차,2023-07-31,23,4.11,36.2471347,126.5464963,2
보령석대도,5차,2023-09-30,27,5.91,36.2471347,126.5464963,2
보령석대도,6차,2023-11-30,22,9.96,36.2471347,126.5464963,2
부안변산,1차,2023-01-31,19,12.81,35.6898916,126.5494362,2
부안변산,2차,2023-03-31,14,4.44,35.6898916,126.5494362,2
부안변산,3차,2023-05-31,14,6.19,35.6898916,126.5494362,2
부안변산,4차,2023-07-31,16,3.2,35.6898916,126.5494362,2
부안변산,5차,2023-09-30,19,4.6,35.6898916,126.5494362,2
부안변산,6차,2023-11-30,15,7.75,35.6898916,126.5494362,2
신안임자도,1차,2023-01-31,23,2.33,35.1297591,126.1198797,2
신안임자도,2차,2023-03-31,17,0.81,35.1297591,126.1198797,2
신안임자도,3차,2023-05-31,17,1.13,35.1297591,126.1198797,2
신안임자도,4차,2023-07-31,20,0.58,35.1297591,126.1198797,2
신안임자도,5차,2023-09-30,24,0.84,35.1297591,126.1198797,2
신안임자도,6차,2023-11-30,19,1.41,35.1297591,126.1198797,2
진도하조도,1차,2023-01-31,59,8.18,34.2901417,126.0649425,2
진도하조도,2차,2023-03-31,44,2.84,34.2901417,126.0649425,2
진도하조도,3차,2023-05-31,44,3.95,34.2901417,126.0649425,2
진도하조도,4차,2023-07-31,52,2.04,34.2901417,126.0649425,2
진도하조도,5차,2023-09-30,61,2.94,34.2901417,126.0649425,2
진도하조도,6차,2023-11-30,49,4.95,34.2901417,126.0649425,2
해남묵동리,1차,2023-01-31,42,5.06,34.3711166,126.6036024,2
해남묵동리,2차,2023-03-31,31,1.75,34.3711166,126.6036024,2
해남묵동리,3차,2023-05-31,32,2.44,34.3711166,126.6036024,2
해남묵동리,4차,2023-07-31,37,1.26,34.3711166,126.6036024,2
해남묵동리,5차,2023-09-30,44,1.82,34.3711166,126.6036024,2
해남묵동리,6차,2023-11-30,35,3.06,34.3711166,126.6036024,2
