정점명,정점_위도,정점_경도,가장_가까운_그리드,거리_km
강화여차리,37.620648,126.3893598,GR3_F2K14_M,1.3541120596149738
안산말부흥,37.2211136,126.5721774,GR3_F2K43_A,4.199523715011395
태안백리포,36.81403540000001,126.1599651,GR3_F2O11_R,3.3426819243496153
보령석대도,36.2471347,126.5464963,GR3_F2O32_Y,7.119910568106163
부안변산,35.6898916,126.5494362,GR3_F4C23_A,4.4842307663150525
신안임자도,35.1297591,126.1198797,GR3_F4C33_M,0.7048951971958213
진도하조도,34.2901417,126.0649425,GR3_F4G31_Q,3.9846272249952115
해남묵동리,34.3711166,126.6036024,GR3_F4G41_M,2.010742339393797
고흥신흥,34.5792925,127.1444411,GR3_F4H13_R,1.8427925569083528
여수반월,34.7912068,127.5738306,GR3_F4H21_V,1.8052756701775192
사천아두도,34.8989113,128.0757013,GR3_G3E11_L,2.659584597966289
통영망일봉,34.8479613,128.4371946,GR3_G3E12_S,2.785215253728188
마산봉암,35.2246659,128.6061178,GR3_G3A43_B,2.826816347734464
부산해양대,35.0708907,129.0745195,GR3_G3B33_Q,0.45902086097472883
울산대왕암,35.4969464,129.4330583,GR3_G3B32_D,2.5470633785036783
포항칠포,36.1440365,129.3900131,GR3_G1N34_M,2.5096732313745447
울진후정,37.0629194,129.4037505,GR3_G1J34_S,2.314937760185942
강릉송정,37.8137117,128.87497,GR3_G1I22_R,1.2552044565261824
속초청초,38.1951876,128.5962751,GR3_G1E43_G,2.9148870302843863
인천백령도,37.9646004,124.7066217,GR3_F2I21_E,1.9830808628938956
인천영종도,37.455283,126.3793637,GR3_F2K32_C,2.226000280931023
인천영흥도,37.26838,126.4702202,GR3_F2K32_Y,0.8489646214157329
태안안면도,36.4328714,126.3795894,GR3_F2O32_H,0.9667838415290663
서천다사항,36.1057151,126.6142634,GR3_F2O43_M,2.3512789284823703
고창동호,35.5093734,126.4884499,GR3_F4C32_D,6.899772935281031
영광백바위,35.2297901,126.3094011,GR3_F4C34_H,8.52304072705565
신안고장,34.8767863,126.005592,GR3_F4G11_L,6.3347544414257895
해남예락,34.6109314,126.2922176,GR3_F4G14_K,2.220271863469067
해남송평,34.44268580000001,126.4748789,GR3_F4G32_J,1.9666025947275905
제주김녕리,33.5389636,126.7494481,GR3_F4K23_S,7.977895291584605
완도신지도,34.3349187,126.7801042,GR3_F4G42_P,1.1983666301812377
여수백야도,34.6154129,127.637848,GR3_F4H23_M,1.587022975814827
고흥염포,34.4360441,127.4974104,GR3_F4H32_J,2.3942937795881947
남해유구,34.76155240000001,127.8562831,GR3_F4H22_V,3.225081924472044
거제두모,34.986674,128.6911309,GR3_G3E21_D,1.9608330611588718
울주나사리,35.3490177,129.3182481,GR3_G3B32_Q,2.739973666736481
동해노봉,37.5729655,129.0834231,GR3_G1J13_R,3.6711236969339915
영덕고래불,36.6026697,129.4094795,GR3_G1N14_N,2.843290174586569
포항구룡포,36.0623152,129.558625,GR3_G1N43_Q,2.0385362006290046
제주사계리,33.2383758,126.3026575,GR3_F4K34_B,2.5554936029404516
고성하일,34.9243186,128.1942245,GR3_G3E11_I,1.7543218976151667
군산선유도,35.8265225,126.4109249,GR3_F4C12_S,1.2802108241845367
당진석문,37.034301,126.5107641,GR3_F2K43_U,1.6329710229335812
보령삽시도,36.3388359,126.3549133,GR3_F2O32_Q,3.0898403267329346
부산가덕도,35.0671545,128.846194,GR3_G3A44_Q,2.116901707288163
부산일광,35.2538187,129.2474352,GR3_G3B31_Y,3.1138671466157253
시흥정왕,37.3411588,126.7220994,GR3_F2K41_O,3.771692669078631
신안압해도,34.8562485,126.2762597,GR3_F4G12_L,4.911383811138042
신안우이도,34.6087046,125.8400858,GR3_F4F24_M,3.6730420165365296
신안흑산도,34.6743075,125.4051371,GR3_F4F14_I,1.8180189798394815
여수거문도,34.046257,127.2879661,GR3_F4H34_U,2.6484763016530923
여수안도,34.4857211,127.8106368,GR3_F4H42_B,1.7760746080239995
완도보길도,34.1593277,126.5241703,GR3_F4G43_F,1.7443513008764462
완도평일도,34.3289971,126.8040192,GR3_F4G42_Q,1.9772350025838041
울릉현포,37.527339,130.8339278,GR3_G1K42_C,6.855511701990211
울산주전,35.5578088,129.4481506,GR3_G3B14_T,3.0906222401884147
제주위미,33.3283413,126.6661355,GR3_F4K41_X,5.988221740505939
진도가사도,34.4797866,126.0504041,GR3_F4G31_B,2.3165197276938403
통영욕지도,34.6315021,128.241404,GR3_G3E13_O,1.6659840365078702
화성서신,37.1295396,126.6975366,GR3_F2K43_N,2.0607688509440716
